,Ticker,Model,Test_Accuracy,Test_Precision,Imbalance_Predictions,Imbalance_True,Return_Model,Return_Benchmark,Number_Trades,Test_Accuracy_new,beat
0,SPY,random_forest,0.481456953642384,0.5429590606905489,28.331125827814567,54.3046357615894,0.04856010690946322,0.18513937168351044,16.0,0.4794701986754967,False
1,SPY,svm,0.5430463576158939,0.5430463576158939,100.0,54.3046357615894,0.18202332792260578,0.18513937168351044,1.0,0.5417218543046357,False
2,SPY,neural_network,0.49841059602649,0.5541966863011275,44.96688759326935,54.3046357615894,0.1706306216804636,0.18513937168351044,40.0,0.5112582781456954,False
3,QQQ,random_forest,0.5035761589403973,0.5349976690041582,59.01986754966888,53.907284768211916,0.21446921548253317,0.2427239273618989,58.0,0.5258278145695364,False
4,QQQ,svm,0.4688741721854305,0.5263157894736842,15.099337748344372,53.907284768211916,-0.19510039372759047,0.2427239273618989,26.0,0.4688741721854305,False
5,QQQ,neural_network,0.530728476821192,0.4865714365432493,86.0,53.907284768211916,0.23276825932502998,0.2427239273618989,1.0,0.5377483443708609,False
6,IWM,random_forest,0.5158940397350993,0.5935570579654554,11.748344370860929,50.59602649006622,0.04182144845802416,0.048638601074557676,16.0,0.5139072847682119,False
7,IWM,svm,0.5218543046357614,0.5302593659942364,45.96026490066225,50.59602649006622,0.02960989282502502,0.048638601074557676,18.0,0.5205298013245033,False
8,IWM,neural_network,0.503046357615894,0.49611732992384344,35.549670004844664,50.59602649006622,0.17585816811278976,0.048638601074557676,26.0,0.5046357615894039,True
9,VB,random_forest,0.4990728476821191,0.4999252373488744,23.65562913907285,49.93377483443708,0.30557973577624886,0.1052252508856511,26.0,0.5006622516556292,True
10,VB,svm,0.5205298013245033,0.5280898876404495,35.36423841059604,49.93377483443708,-0.10715203479692892,0.1052252508856511,15.0,0.519205298013245,False
11,VB,neural_network,0.49456953642384105,0.49586775235992275,65.40397510528564,49.93377483443708,0.047444386301323416,0.1052252508856511,8.0,0.4913907284768212,False
12,IWC,random_forest,0.5202649006622517,0.5366490806982741,19.894039735099334,49.40397350993378,0.0070084386943667365,0.06695221089388104,28.0,0.5139072847682119,False
13,IWC,svm,0.5112582781456955,0.5083333333333332,31.788079470198674,49.40397350993378,-0.18285883470676378,0.06695221089388104,11.0,0.5112582781456954,False
14,IWC,neural_network,0.500662251655629,0.49653384480547275,40.026489925384524,49.40397350993378,-0.27346572141995396,0.06695221089388104,26.0,0.5006622516556292,False
15,FDM,random_forest,0.5308609271523179,0.5050696445190537,22.834437086092713,47.152317880794705,0.28730390343067724,0.08516856002579512,13.0,0.5350993377483444,True
16,FDM,svm,0.5324503311258278,0.5130434782608696,15.231788079470196,47.152317880794705,0.3126532051341866,0.08516856002579512,8.0,0.5311258278145695,True
17,FDM,neural_network,0.4977483443708609,0.4383586705439143,70.88741722106934,47.152317880794705,0.09158626873044207,0.08516856002579512,1.0,0.47152317880794703,True
